station_name,line,borough,segment,unique_key,station_key,station_key_split,line_designators_str
Astoria-Ditmars Blvd,N,Q,Astoria,NAstoria-Ditmars BlvdAstoria,Astoria_Ditmars_Blvd|N_W,N|Astoria_Ditmars_Blvd|N_W,N_Q
Astoria-Ditmars Blvd,Q,Q,Astoria,QAstoria-Ditmars BlvdAstoria,Astoria_Ditmars_Blvd|N_W,Q|Astoria_Ditmars_Blvd|N_W,N_Q
Astoria Blvd,N,Q,Astoria,NAstoria BlvdAstoria,Astoria_Blvd|N_W,N|Astoria_Blvd|N_W,N_Q
Astoria Blvd,Q,Q,Astoria,QAstoria BlvdAstoria,Astoria_Blvd|N_W,Q|Astoria_Blvd|N_W,N_Q
30 Av,N,Q,Astoria,N30 AvAstoria,30_Av|N_W,N|30_Av|N_W,N_Q
30 Av,Q,Q,Astoria,Q30 AvAstoria,30_Av|N_W,Q|30_Av|N_W,N_Q
Broadway,N,Q,Astoria,NBroadwayAstoria,Broadway|N_W,N|Broadway|N_W,N_Q
Broadway,Q,Q,Astoria,QBroadwayAstoria,Broadway|N_W,Q|Broadway|N_W,N_Q
36 Av,N,Q,Astoria,N36 AvAstoria,36_Av|N_W,N|36_Av|N_W,N_Q
36 Av,Q,Q,Astoria,Q36 AvAstoria,36_Av|N_W,Q|36_Av|N_W,N_Q
39 Av,N,Q,Astoria,N39 AvAstoria,39_Av|N_W,N|39_Av|N_W,N_Q
39 Av,Q,Q,Astoria,Q39 AvAstoria,39_Av|N_W,Q|39_Av|N_W,N_Q
Fulton St,2,M,Broadway/7 Av (CBD),2Fulton StBroadway/7 Av (CBD),Fulton_St|A_C_J_Z_2_3_4_5,2|Fulton_St|A_C_J_Z_2_3_4_5,2_3
Fulton St,3,M,Broadway/7 Av (CBD),3Fulton StBroadway/7 Av (CBD),Fulton_St|A_C_J_Z_2_3_4_5,3|Fulton_St|A_C_J_Z_2_3_4_5,2_3
Park Place,2,M,Broadway/7 Av (CBD),2Park PlaceBroadway/7 Av (CBD),Chambers_St_WTC_Park_Place|A_C_E_2_3,2|Chambers_St_WTC_Park_Place|A_C_E_2_3,2_3
Park Place,3,M,Broadway/7 Av (CBD),3Park PlaceBroadway/7 Av (CBD),Chambers_St_WTC_Park_Place|A_C_E_2_3,3|Chambers_St_WTC_Park_Place|A_C_E_2_3,2_3
South Ferry,1,M,Broadway/7 Av (CBD),1South FerryBroadway/7 Av (CBD),South_Ferry_Whitehall_St|1_R_W,1|South_Ferry_Whitehall_St|1_R_W,1
14 St,1,M,Broadway/7 Av (CBD),114 StBroadway/7 Av (CBD),14_St_6_Av|F_M_1_2_3_L,1|14_St_6_Av|F_M_1_2_3_L,1_2_3
14 St,2,M,Broadway/7 Av (CBD),214 StBroadway/7 Av (CBD),14_St_6_Av|F_M_1_2_3_L,2|14_St_6_Av|F_M_1_2_3_L,1_2_3
14 St,3,M,Broadway/7 Av (CBD),314 StBroadway/7 Av (CBD),14_St_6_Av|F_M_1_2_3_L,3|14_St_6_Av|F_M_1_2_3_L,1_2_3
Times Square-42 St,1,M,Broadway/7 Av (CBD),1Times Square-42 StBroadway/7 Av (CBD),Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,1|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,1_2_3
Times Square-42 St,2,M,Broadway/7 Av (CBD),2Times Square-42 StBroadway/7 Av (CBD),Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,2|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,1_2_3
Times Square-42 St,3,M,Broadway/7 Av (CBD),3Times Square-42 StBroadway/7 Av (CBD),Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,3|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,1_2_3
59 St-Columbus Circle,1,M,Broadway/7 Av (CBD),159 St-Columbus CircleBroadway/7 Av (CBD),59_St_Columbus_Circle|A_B_C_D_1,1|59_St_Columbus_Circle|A_B_C_D_1,1
