borough,closing,opening,station,transfer_segement,transfer_station_name,segment,station_name,line_designators,full_station_name,line,annual_ridership,fiscal_year,student_to_total,annual_ridership_student_adj
Bx,,1910-04-01,Intervale Av,,,White Plains Rd,Intervale Av,"['2', '5']","Intervale Av (2,5)",2,448962.0,1997,1.0637468361812454,477581.9070656043
Bx,,1910-04-01,Intervale Av,,,White Plains Rd,Intervale Av,"['2', '5']","Intervale Av (2,5)",5,448962.0,1997,1.0637468361812454,477581.9070656043
Bx,,1904-11-26,Simpson St,,,White Plains Rd,Simpson St,"['2', '5']","Simpson St (2,5)",2,1473139.0,1997,1.0637468361812454,1567046.9505052038
Bx,,1904-11-26,Simpson St,,,White Plains Rd,Simpson St,"['2', '5']","Simpson St (2,5)",5,1473139.0,1997,1.0637468361812454,1567046.9505052038
Bx,,1904-11-26,Freeman St,,,White Plains Rd,Freeman St,"['2', '5']","Freeman St (2,5)",2,601314.0,1997,1.0637468361812454,639645.8650514894
Bx,,1904-11-26,Freeman St,,,White Plains Rd,Freeman St,"['2', '5']","Freeman St (2,5)",5,601314.0,1997,1.0637468361812454,639645.8650514894
Bx,,1904-11-26,174 St,,,White Plains Rd,174 St,"['2', '5']","174 St (2,5)",2,996856.0,1997,1.0637468361812454,1060402.4161282915
Bx,,1904-11-26,174 St,,,White Plains Rd,174 St,"['2', '5']","174 St (2,5)",5,996856.0,1997,1.0637468361812454,1060402.4161282915
Bx,,1904-11-26,West Farms Sq-East Tremont Av,,,White Plains Rd,West Farms Sq-East Tremont Av,"['2', '5']","West Farms Sq-East Tremont Av (2,5)",2,1277210.0,1997,1.0637468361812454,1358628.0966390485
Bx,,1904-11-26,West Farms Sq-East Tremont Av,,,White Plains Rd,West Farms Sq-East Tremont Av,"['2', '5']","West Farms Sq-East Tremont Av (2,5)",5,1277210.0,1997,1.0637468361812454,1358628.0966390485
Bx,,1917-03-03,East 180 St,,,White Plains Rd,East 180 St,"['2', '5']","East 180 St (2,5)",2,1148412.0,1997,1.0637468361812454,1221619.6316325765
Bx,,1917-03-03,East 180 St,,,White Plains Rd,East 180 St,"['2', '5']","East 180 St (2,5)",5,1148412.0,1997,1.0637468361812454,1221619.6316325765
Bx,,1917-03-03,Bronx Park East,,,White Plains Rd,Bronx Park East,"['2', '5']","Bronx Park East (2,5)",2,443098.0,1997,1.0637468361812454,471344.0956182375
Bx,,1917-03-03,Bronx Park East,,,White Plains Rd,Bronx Park East,"['2', '5']","Bronx Park East (2,5)",5,443098.0,1997,1.0637468361812454,471344.0956182375
Bx,,1917-03-03,Pelham Pkwy,,,White Plains Rd,Pelham Pkwy,"['2', '5']","Pelham Pkwy (2,5)",2,1440914.0,1997,1.0637468361812454,1532767.708709263
Bx,,1917-03-03,Pelham Pkwy,,,White Plains Rd,Pelham Pkwy,"['2', '5']","Pelham Pkwy (2,5)",5,1440914.0,1997,1.0637468361812454,1532767.708709263
Bx,,1917-03-03,Allerton Av,,,White Plains Rd,Allerton Av,"['2', '5']","Allerton Av (2,5)",2,1168397.0,1997,1.0637468361812454,1242878.6121536586
Bx,,1917-03-03,Allerton Av,,,White Plains Rd,Allerton Av,"['2', '5']","Allerton Av (2,5)",5,1168397.0,1997,1.0637468361812454,1242878.6121536586
Bx,,1917-03-03,Burke Av,,,White Plains Rd,Burke Av,"['2', '5']","Burke Av (2,5)",2,779014.0,1997,1.0637468361812454,828673.6778408968
Bx,,1917-03-03,Burke Av,,,White Plains Rd,Burke Av,"['2', '5']","Burke Av (2,5)",5,779014.0,1997,1.0637468361812454,828673.6778408968
Bx,,1917-03-03,Gun Hill Rd,,,White Plains Rd,Gun Hill Rd,"['2', '5']","Gun Hill Rd (2,5)",2,901101.0,1997,1.0637468361812454,958543.3378297564
Bx,,1917-03-03,Gun Hill Rd,,,White Plains Rd,Gun Hill Rd,"['2', '5']","Gun Hill Rd (2,5)",5,901101.0,1997,1.0637468361812454,958543.3378297564
Bx,,1917-03-03,219 St,,,White Plains Rd,219 St,"['2', '5']","219 St (2,5)",2,637678.0,1997,1.0637468361812454,678327.9550023843
Bx,,1917-03-03,219 St,,,White Plains Rd,219 St,"['2', '5']","219 St (2,5)",5,637678.0,1997,1.0637468361812454,678327.9550023843
Bx,,1917-03-03,225 St,,,White Plains Rd,225 St,"['2', '5']","225 St (2,5)",2,776057.0,1997,1.0637468361812454,825528.1784463088
Bx,,1917-03-03,225 St,,,White Plains Rd,225 St,"['2', '5']","225 St (2,5)",5,776057.0,1997,1.0637468361812454,825528.1784463088
Bx,,1917-03-03,233 St,,,White Plains Rd,233 St,"['2', '5']","233 St (2,5)",2,1147091.0,1997,1.0637468361812454,1220214.422061981
Bx,,1917-03-03,233 St,,,White Plains Rd,233 St,"['2', '5']","233 St (2,5)",5,1147091.0,1997,1.0637468361812454,1220214.422061981
Bx,,1917-03-03,Nereid Av,,,White Plains Rd,Nereid Av,"['2', '5']","Nereid Av (2,5)",2,627588.0,1997,1.0637468361812454,667594.7494253154
Bx,,1917-03-03,Nereid Av,,,White Plains Rd,Nereid Av,"['2', '5']","Nereid Av (2,5)",5,627588.0,1997,1.0637468361812454,667594.7494253154
Bx,,1920-12-13,Wakefield-241 St,,,White Plains Rd,Wakefield-241 St,['2'],Wakefield-241 St (2),2,957633.0,1997,1.0637468361812454,1018679.0739727546
Bx,,1941-05-15,Morris Park,,,Dyre Av,Morris Park,['5'],Morris Park (5),5,364721.0,1997,1.0637468361812454,387970.80983886
Bx,,1941-05-15,Pelham Pkwy,,,Dyre Av,Pelham Pkwy,['5'],Pelham Pkwy (5),5,495493.0,1997,1.0637468361812454,527079.1110999539
Bx,,1941-05-15,Gun Hill Rd,,,Dyre Av,Gun Hill Rd,['5'],Gun Hill Rd (5),5,1242161.0,1997,1.0637468361812454,1321344.833777732
Bx,,1941-05-15,Baychester Av,,,Dyre Av,Baychester Av,['5'],Baychester Av (5),5,759343.0,1997,1.0637468361812454,807748.7138263754
Bx,,1941-05-15,Eastchester-Dyre Av,,,Dyre Av,Eastchester-Dyre Av,['5'],Eastchester-Dyre Av (5),5,803795.0,1997,1.0637468361812454,855034.3881883041
Bx,,1919-01-07,3 Av-138 St,,,Pelham,3 Av-138 St,['6'],3 Av-138 St (6),6,1069772.0,1997,1.0637468361812454,1137966.5804352832
Bx,,1918-08-01,Brook Av,,,Pelham,Brook Av,['6'],Brook Av (6),6,1028730.0,1997,1.0637468361812454,1094308.2827847325
Bx,,1918-08-01,Cypress Av,,,Pelham,Cypress Av,['6'],Cypress Av (6),6,581707.0,1997,1.0637468361812454,618788.9808344838
Bx,,1918-08-01,East 143 St-St Mary's St,,,Pelham,East 143 St-St Mary's St,['6'],East 143 St-St Mary's St (6),6,143267.0,1997,1.0637468361812454,152399.81797917848
Bx,,1918-08-01,East 149 St,,,Pelham,East 149 St,['6'],East 149 St (6),6,682301.0,1997,1.0637468361812454,725795.5300732999
