Segment,Station,Boro,Comments,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
White Plains Rd,"Freeman St (2,5)",Bx,,678349,711975,758341,798269,783956,928838,578231,828381,944658,1043539,1150491
White Plains Rd,"174 St (2,5)",Bx,,1244202,1347715,1378309,1506939,1546002,1110688,1580913,1742120,1913276,2047981,2159617
White Plains Rd,"West Farms Sq-East Tremont Av (2,5)",Bx,,1490323,1773067,1707910,1843274,1788715,1793197,1619043,1866907,2149787,2266956,2366256
White Plains Rd,"East 180 St (2,5)",Bx,,1296706,1365778,1440676,1466813,1507479,1584669,1779606,1744416,1811514,1824605,2041507
White Plains Rd,"Bronx Park East (2,5)",Bx,,436025,473868,495671,548956,564374,583895,597634,684312,828281,856682,880102
White Plains Rd,"Pelham Pkwy (2,5)",Bx,,1564393,1733902,1847372,1984764,2006996,2013303,1987079,2153840,1959901,2313926,2514944
White Plains Rd,"Allerton Av (2,5)",Bx,,1217642,1292177,1340966,1427038,1461543,1447198,1604585,979522,1449177,1574252,1625023
White Plains Rd,"Burke Av (2,5)",Bx,,801668,840916,862065,901035,894571,885593,570384,1050160,974624,1019924,1047965
White Plains Rd,"Gun Hill Rd (2,5)",Bx,,1128878,1217640,1346068,1407781,1389294,1312905,1224429,1229700,1644660,1739590,1864323
White Plains Rd,"219 St (2,5)",Bx,,675640,690935,719899,725271,741437,747100,755902,941013,513898,854553,926893
White Plains Rd,"225 St (2,5)",Bx,,826341,854453,872369,901909,966368,959801,934142,676628,1265222,1095409,1173697
White Plains Rd,"233 St (2,5)",Bx,,1222232,1255562,1302185,1283596,1309659,1276372,1250222,1357525,1056953,1375404,1485276
White Plains Rd,"Nereid Av (2,5)",Bx,,709562,748373,811342,798970,819725,817459,801268,1139170,690663,857763,929559
White Plains Rd,Wakefield-241 St (2),Bx,,1014530,1064656,992541,1045011,1087358,1114389,1101554,664272,1132407,1272043,1344876
White Plains Rd,White Plains Rd Total,,,23693427,26012679,27183668,28667413,28789328,28469834,28618542,29511503,31845186,34617049,36684931
Dyre Av,Morris Park (5),Bx,,422950,431820,418034,445159,444319,433831,456571,489782,554611,550547,570262
Dyre Av,Pelham Pkwy (5),Bx,,605027,641922,641137,665085,696860,694114,732950,798976,830675,840151,870544
Dyre Av,Gun Hill Rd (5),Bx,,1456385,1553395,1449127,1532449,1573545,1519853,1590836,1644704,1717442,1753569,1817798
Dyre Av,Baychester Av (5),Bx,,876823,904578,924798,956529,971895,957821,992462,1007547,1085754,1112821,1168224
Dyre Av,Eastchester-Dyre Av (5),Bx,,907969,953725,973483,990129,987813,970739,1005527,1045920,1107354,1146326,1251842
Dyre Av,Dyre Av Total,,,4269154,4485440,4406579,4589351,4674432,4576358,4778346,4986929,5295836,5403414,5678670
Pelham,3 Av-138 St (6),Bx,,1309163,1373246,1452578,1575887,1727620,1731874,1859424,1878180,2031493,2023274,2159647
Pelham,Brook Av (6),Bx,,1257845,1330707,1474818,1573905,1656656,1699350,1732053,1780295,1722026,1825026,1915123
Pelham,Cypress Av (6),Bx,,667164,714152,763070,807611,863821,862614,873732,939542,972373,1037151,1136278
Pelham,East 143 St-St Mary's St (6),Bx,,190324,194144,230725,255783,278303,278239,279588,271348,273671,271886,264788
Pelham,East 149 St (6),Bx,,886210,929906,1045618,1083833,1174670,1205275,1259948,1366935,1331444,1337401,1393227
Pelham,Longwood Av (6),Bx,,701655,688755,766008,808127,865496,914897,991343,1031385,1017825,1031697,1042782
Pelham,Hunts Point Av (6),Bx,,2158528,2354165,2499700,2622658,2820144,2819504,2973060,3019773,3088334,3132363,3255048
Pelham,Whitlock Av (6),Bx,,304062,302548,344712,374535,401770,402958,452648,465565,476628,459855,475282
Pelham,Elder Av (6),Bx,,1406240,1446117,1599948,1701506,1781601,1781097,1875916,1937654,2007213,1999596,2077064
Pelham,Morrison Av-Soundview (6),Bx,,1511079,1525558,1663194,1783678,1862878,1822526,1905455,1906135,1902744,1879569,2025425
Pelham,St Lawrence Av (6),Bx,,947337,961967,1029514,1091196,1113661,1103198,1142207,1159665,1209919,1212190,1297041
Pelham,Parkchester (6),Bx,,3596368,3606470,3782527,3994737,4119632,4056987,4232682,4283952,4430791,4605514,4720570
Pelham,Castle Hill Av (6),Bx,,1597051,1631603,1773070,1840586,1940332,1957022,1997558,1985788,2039260,2021224,2155897
Pelham,Zerega Av (6),Bx,,456882,472206,505126,520826,560347,560782,603535,641423,683731,688598,736708
Pelham,Westchester Sq-East Tremont Av (6),Bx,,1107463,1154852,1302787,1409566,1494067,1530277,1648899,1735351,1798056,1791258,1883509
Pelham,Middletown Rd (6),Bx,,368307,362657,387311,394430,405190,401788,412970,421050,448953,487759,526567
Pelham,Buhre Av (6),Bx,,627841,633771,684670,696159,681302,663511,716129,737962,791940,824727,888854
Pelham,Pelham Bay Park (6),Bx,,1316504,1381447,1504073,1579313,1591111,1589658,1657542,1745036,1825667,1836334,1931973
Pelham,Pelham Total,,,20410023,21064271,22809449,24114336,25338601,25381557,26614689,27307039,28052068,28465422,29885783
Flushing (Manhattan),34 St-Hudson Yards (7),M,,,,,,,,,,,,
Flushing (Manhattan),Times Square (7),M,"See Manhattan CBD Transfer: Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",,,,,,,,,,,
Flushing (Manhattan),5 Av (7),M,"See Manhattan CBD Transfer: 42 St-Bryant Pk (B,D,F,M)/5 Av (7)",,,,,,,,,,,
Flushing (Manhattan),Grand Central (7),M,"See Manhattan CBD Transfer: Grand Central-42 St (S,4,5,6,7)",,,,,,,,,,,
Flushing (Manhattan),Flushing (Manhattan) Total,,,0,0,0,0,0,0,0,0,0,0,0
42 St Shtl,Times Square (S),M,"See Manhattan CBD Transfer: Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",,,,,,,,,,,
42 St Shtl,Grand Central (S),M,"See Manhattan CBD Transfer: Grand Central-42 St (S,4,5,6,7)",,,,,,,,,,,
42 St Shtl,42 St Shtl. Total,,,0,0,0,0,0,0,0,0,0,0,0
Broadway-60 St,Whitehall St-South Ferry (R),M,See Manhattan CBD Transfer: South Ferry (1)/Whitehall St (R),,,,,,,,,,,
Broadway-60 St,Rector St (R),M,,1710253,1857908,2079979,1903269,2978158,2163307,1955190,2306060,3228330,3023850,3051759
Broadway-60 St,Cortlandt St (R),M,,6493394,7340245,7932618,5586383,765926,3038063,4507811,3070371,0,0,0
Broadway-60 St,City Hall (R),M,,2903088,2846293,2874180,2555465,3450263,2893493,2568860,2626333,3071346,3081719,3205157
Broadway-60 St,"Canal St (N,Q,R)",M,"See Manhattan CBD Transfer: Canal St (J,N,Q,R,Z,6)",,,,,,,,,,,
Broadway-60 St,"Prince St (N,R)",M,,3188291,3630750,4158948,3024876,4480411,4575462,4587594,4526663,4444686,4827910,4971704
Broadway-60 St,"8 St-New York University (N,R)",M,,5140452,5397681,6020996,4220951,5758505,5803818,5568299,5374135,5249392,5398289,5469490
Broadway-60 St,"14 St-Union Sq (N,Q,R)",M,"See Manhattan CBD Transfer: 14 St-Union Sq (L,N,Q,R,4,5,6)",,,,,,,,,,,
Broadway-60 St,"23 St (N,R)",M,,4544433,5036508,5394526,3685543,5320605,5230012,5208323,5263778,5306918,5636909,5889298
Broadway-60 St,"28 St (N,R)",M,,2578141,2873119,3191775,2240432,3037161,2967837,3062128,3053983,2838173,2951768,3011248
Broadway-60 St,"34 St-Herald Square (N,Q,R)",M,"See Manhattan CBD Transfer: 34 St-Herald Sq (B,D,F,M,N,Q,R)",,,,,,,,,,,
Broadway-60 St,"Times Sq-42 St (N,Q,R)",M,"See Manhattan CBD Transfer: Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",,,,,,,,,,,
Broadway-60 St,"49 St (N,Q,R)",M,,5512596,5856974,6459390,6956349,8481287,8118611,7241259,7183508,7415223,7976466,8106715
Broadway-60 St,"57 St-7 Av (N,Q,R)",M,,6504272,6718269,7394033,8123781,9117526,8754015,8382981,8449827,8497262,8851888,9132165
Broadway-60 St,"5 Av-59 St (N,Q,R)",M,,4025379,4195295,4677547,4681025,4715430,4498896,4616827,4813944,5056435,5589873,5865430
Broadway-60 St,"Lexington Av-59 St (N,Q,R)",M,"See Manhattan CBD Transfer: Lexington Av (N,Q,R)/59 St (4,5,6)",,,,,,,,,,,
Broadway-60 St,Broadway-60 St Total,,,42600299,45753042,50183992,42978074,48105272,48043514,47699272,46668602,45107765,47338672,48702966
Nassau St,"Broad St (J,Z)",M,,1680011,1342536,1767030,2017217,1893930,1609132,1589170,1625900,1742253,1764904,1866784
Nassau St,"Fulton St (J,Z)",M,"See Manhattan CBD Transfer: Fulton St (A,C,J,Z,2,3,4,5)",,,,,,,,,,,
Nassau St,"Chambers St (J,Z)",M,"See Manhattan CBD Transfer: Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,,,,,,,,,,
Nassau St,"Canal St (J,Z)",M,"See Manhattan CBD Transfer: Canal St (J,N,Q,R,Z,6)",,,,,,,,,,,
Nassau St,"Bowery (J,Z)",M,,143875,123815,250126,374381,477528,531554,530882,589400,694100,819021,938115
Nassau St,"Essex St (J,M,Z)",M,"See Manhattan CBD Transfer: Delancey St (F)/Essex St (J,M,Z)",,,,,,,,,,,
Nassau St,Nassau St Total,,,1823886,1466351,2017156,2391598,2371458,2140686,2120052,2215300,2436353,2583925,2804899
14 St,8 Av (L),M,"See Manhattan CBD Transfer: 14 St (A,C,E)/8 Av (L)",,,,,,,,,,,
14 St,6 Av (L),M,"See Manhattan CBD Transfer: 14 St (F,M,1,2,3)/6 Av (L)",,,,,,,,,,,
14 St,Union Square (L),M,"See Manhattan CBD Transfer: 14 St-Union Sq (L,N,Q,R,4,5,6)",,,,,,,,,,,
14 St,3 Av (L),M,,899948,1020845,1146823,1300193,1360880,1310782,1414139,1366528,1462293,1733892,1825033
14 St,1 Av (L),M,,3382685,3655540,4131324,4574737,4843735,4655067,4992321,4973154,4931530,5598821,6201745
14 St,14 St Total,,,4282633,4676385,5278147,5874930,6204615,5965849,6406460,6339682,6393823,7332713,8026778
