Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
MA,137 St-City College,Upper Broadway Line,10/27/1904,,,3876847,4033116,4229658,4145935,4176902,4087887,3864550,3995223,4024999,4218599,4055512,3969650,3617234,3374019,3331761,3136648,2894298,2786359,2784556,2842197,2773194,2743789,2601862,2743291,2765230,2796505,3020530,3141502,3297023,3429852,2686962,3092064,3200938,3195977,3276808,3315008,3307452,3182867
MA,145 St,Upper Broadway Line,10/27/1904,,,2152071,2204900,2322463,2219914,2202332,2106112,1878049,1901670,1925128,2068069,1965322,1853427,1704303,1557819,1473351,1357463,1271630,1239737,1296161,1328994,1299740,1283244,1200701,1300197,1322595,1383933,1495135,1582236,1631346,1668269,1408901,1492159,1491491,1570852,1670549,1766188,1777558,1812393
MA,157 St,Upper Broadway Line,10/27/1904,,,1967881,2045706,2190822,2133562,2211174,2202094,2017076,2093245,2160114,2319328,2184185,2052220,1927172,1839427,1821937,1718547,1630065,1632233,1734922,1814022,1784389,1728772,1635248,1739289,1808993,1818439,1889514,2100051,2180654,2277958,2003056,2024601,2011361,2026292,2081649,2154125,2181458,2214922
MA,168 St-Washington Heights,Upper Broadway Line,3/12/1906,,See Upper Manhattan/Bronx Transfer: 168 St-Washington Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,181 St,Upper Broadway Line,3/12/1906,,,2242578,2414447,2531659,2541571,2633334,2569411,2356428,2426317,2493184,2663273,2553102,2424477,2158911,1988974,1997547,1863258,1711673,1631494,1666651,1677745,1615501,1500391,1420977,1445218,1384300,1350213,1424950,1559079,1640577,1775910,1603354,1838599,1916440,1951676,1951502,2072493,2100323,2099733
MA,191 St,Upper Broadway Line,1/14/1911,,,1535182,1587613,1664058,1672242,1760272,1689716,1561889,1625732,1624830,1687624,1573322,1484438,1440390,1339320,1370737,1353831,1314405,1319745,1397423,1418954,1377737,1320729,1262119,1312610,1286793,1225997,1259342,1367957,1297276,1281624,1179388,1311422,1276060,1373548,1465002,1503212,1543554,1498159
MA,Dyckman St,Upper Broadway Line,3/12/1906,,,1396925,1481437,1510961,1512506,1565020,1543996,1433935,1488332,1516728,1624234,1574869,1510136,1395297,1327996,1328345,1272852,1204357,1195164,1257890,1343766,1275123,1209929,1161880,1244122,1311015,1300566,1358841,1545876,1632851,1836121,1528065,1642767,1630549,1659438,1643924,1709922,1704150,1641264
MA,207 St,Upper Broadway Line,4/1/1907,,,725640,749906,757089,762717,798879,785510,704136,721105,724541,807713,765552,754589,715988,694470,684137,651738,593775,596647,639879,704482,694751,658468,615855,649942,630082,614901,695690,775905,778610,805923,749350,771507,800737,831341,838961,886015,931614,934771
MA,215 St,Upper Broadway Line,3/12/1906,,,261975,300437,293526,260173,253667,241631,214855,214229,203273,217642,198365,195253,178579,180671,180863,170368,153388,151906,157312,170583,158216,156513,151229,161568,177124,167605,210090,247290,265767,292716,299358,314733,319569,329155,344384,367440,394994,403307
MA,Marble Hill-225 St1,Upper Broadway Line,1/14/1907,,,1071856,1100461,1071745,981356,1060877,1010206,907383,911429,869460,875624,830111,795412,772443,809901,821664,784835,768604,769112,809737,855817,824343,787330,757587,794442,810568,783185,792540,890407,912421,948183,868531,915173,873940,888466,953323,1001794,1009166,966058
