borough,segment,full_station_name,transfer_segment,transfer_station_name,line_designators,station_name,line,annual_ridership,year
M,8 Av/Central Pk W,"116 St (B,C)",,,"['B', 'C']",116 St,C,1849963.0,2008
M,8 Av/Central Pk W,"125 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",125 St,A,7986389.0,2008
M,8 Av/Central Pk W,"125 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",125 St,B,7986389.0,2008
M,8 Av/Central Pk W,"125 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",125 St,C,7986389.0,2008
M,8 Av/Central Pk W,"125 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",125 St,D,7986389.0,2008
M,8 Av/Central Pk W,"135 St (B,C)",,,"['B', 'C']",135 St,B,1467646.0,2008
M,8 Av/Central Pk W,"135 St (B,C)",,,"['B', 'C']",135 St,C,1467646.0,2008
M,8 Av/Central Pk W,"145 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",145 St,A,6602419.0,2008
M,8 Av/Central Pk W,"145 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",145 St,B,6602419.0,2008
M,8 Av/Central Pk W,"145 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",145 St,C,6602419.0,2008
M,8 Av/Central Pk W,"145 St (A,B,C,D)",,,"['A', 'B', 'C', 'D']",145 St,D,6602419.0,2008
M,Washington Heights,155 St (C),,,['C'],155 St,C,739611.0,2008
M,Washington Heights,163 St-Amsterdam Av (C),,,['C'],163 St-Amsterdam Av,C,1167101.0,2008
M,Washington Heights,175 St (A),,,['A'],175 St,A,3606024.0,2008
M,Washington Heights,181 St (A),,,['A'],181 St,A,2876719.0,2008
M,Washington Heights,190 St (A),,,['A'],190 St,A,1175432.0,2008
M,Washington Heights,Dyckman St (A),,,['A'],Dyckman St,A,1697915.0,2008
M,Washington Heights,Inwood-207 St (A),,,['A'],Inwood-207 St,A,2375232.0,2008
M,Concourse,"155 St (B,D)",,,"['B', 'D']",155 St,B,1199549.0,2008
M,Concourse,"155 St (B,D)",,,"['B', 'D']",155 St,D,1199549.0,2008
Bx,Concourse,"167 St (B,D)",,,"['B', 'D']",167 St,B,2920517.0,2008
Bx,Concourse,"167 St (B,D)",,,"['B', 'D']",167 St,D,2920517.0,2008
Bx,Concourse,"170 St (B,D)",,,"['B', 'D']",170 St,B,2092449.0,2008
Bx,Concourse,"170 St (B,D)",,,"['B', 'D']",170 St,D,2092449.0,2008
Bx,Concourse,"174-175 Sts (B,D)",,,"['B', 'D']",174-175 Sts,B,1557954.0,2008
Bx,Concourse,"174-175 Sts (B,D)",,,"['B', 'D']",174-175 Sts,D,1557954.0,2008
Bx,Concourse,"Tremont Av (B,D)",,,"['B', 'D']",Tremont Av,B,2811145.0,2008
Bx,Concourse,"Tremont Av (B,D)",,,"['B', 'D']",Tremont Av,D,2811145.0,2008
Bx,Concourse,"182-183 Sts (B,D)",,,"['B', 'D']",182-183 Sts,B,1561529.0,2008
Bx,Concourse,"182-183 Sts (B,D)",,,"['B', 'D']",182-183 Sts,D,1561529.0,2008
Bx,Concourse,"Fordham Rd (B,D)",,,"['B', 'D']",Fordham Rd,B,3753128.0,2008
Bx,Concourse,"Fordham Rd (B,D)",,,"['B', 'D']",Fordham Rd,D,3753128.0,2008
Bx,Concourse,"Kingsbridge Rd (B,D)",,,"['B', 'D']",Kingsbridge Rd,B,2475092.0,2008
Bx,Concourse,"Kingsbridge Rd (B,D)",,,"['B', 'D']",Kingsbridge Rd,D,2475092.0,2008
Bx,Concourse,"Bedford Park Blvd (B,D)",,,"['B', 'D']",Bedford Park Blvd,B,1989894.0,2008
Bx,Concourse,"Bedford Park Blvd (B,D)",,,"['B', 'D']",Bedford Park Blvd,D,1989894.0,2008
Bx,Concourse,Norwood-205 St (D),,,['D'],Norwood-205 St,D,2493009.0,2008
B,New Lots,New Lots Av (3),,,['3'],New Lots Av,3,1840488.0,2008
B,New Lots,Van Siclen Av (3),,,['3'],Van Siclen Av,3,958573.0,2008
B,New Lots,Pennsylvania Av (3),,,['3'],Pennsylvania Av,3,1865416.0,2008
B,New Lots,Junius St (3),,,['3'],Junius St,3,660409.0,2008
B,New Lots,Rockaway Av (3),,,['3'],Rockaway Av,3,1825246.0,2008
B,New Lots,Saratoga Av (3),,,['3'],Saratoga Av,3,1720382.0,2008
B,New Lots,Sutter Av-Rutland Rd (3),,,['3'],Sutter Av-Rutland Rd,3,2335881.0,2008
B,New Lots,"Crown Heights-Utica Av (3,4)",,,"['3', '4']",Crown Heights-Utica Av,3,8573661.0,2008
B,New Lots,"Crown Heights-Utica Av (3,4)",,,"['3', '4']",Crown Heights-Utica Av,4,8573661.0,2008
B,New Lots,Kingston Av (3),,,['3'],Kingston Av,3,1544975.0,2008
B,New Lots,Nostrand Av (3),,,['3'],Nostrand Av,3,1250756.0,2008
B,Nostrand Av,"Flatbush Av-Brooklyn College (2,5)",,,"['2', '5']",Flatbush Av-Brooklyn College,2,6035079.0,2008
B,Nostrand Av,"Flatbush Av-Brooklyn College (2,5)",,,"['2', '5']",Flatbush Av-Brooklyn College,5,6035079.0,2008
B,Nostrand Av,"Newkirk Av (2,5)",,,"['2', '5']",Newkirk Av,2,2403333.0,2008
B,Nostrand Av,"Newkirk Av (2,5)",,,"['2', '5']",Newkirk Av,5,2403333.0,2008
B,Nostrand Av,"Beverly Rd (2,5)",,,"['2', '5']",Beverly Rd,2,1271764.0,2008
B,Nostrand Av,"Beverly Rd (2,5)",,,"['2', '5']",Beverly Rd,5,1271764.0,2008
B,Nostrand Av,"Church Av (2,5)",,,"['2', '5']",Church Av,2,2949285.0,2008
